composition_id	base_id	candidate_source	candidate_group	candidate_band	is_mirror	mirror_model	assessor_source	assessor_model	path	filename	filename_original	ai_assessment_filename	ai_assessment_path	score_source_file	adequacao_ao_tema	adequacao_a_coletanea	adequacao_ao_tipo_de_texto	adequacao_a_norma_padrao	coesao	coerencia	pontuacao_total	score_sum_check	score_residual
36237_human_high	36237	human	human_high	high	False		human		corpus/01_composicoes/maiores_notas/36237.txt		36237 (0519-029).txt			corpus/00_fontes/composicoes_de_admissao_universitaria.tsv	4.5	5.0	5.0	5.0	5.0	5.0	29.5	29.5	0.0
46656_human_high	46656	human	human_high	high	False		human		corpus/01_composicoes/maiores_notas/46656.txt		46656 (0414-009).txt			corpus/00_fontes/composicoes_de_admissao_universitaria.tsv	5.0	5.0	4.0	4.5	5.0	5.0	28.5	28.5	0.0
36560_human_high	36560	human	human_high	high	False		human		corpus/01_composicoes/maiores_notas/36560.txt		36560 (0502-031).txt			corpus/00_fontes/composicoes_de_admissao_universitaria.tsv	4.5	4.5	4.5	5.0	5.0	4.5	28.0	28.0	0.0
36923_human_high	36923	human	human_high	high	False		human		corpus/01_composicoes/maiores_notas/36923.txt		36923 (0416-024).txt			corpus/00_fontes/composicoes_de_admissao_universitaria.tsv	5.0	4.0	4.5	5.0	5.0	4.5	28.0	28.0	0.0
45355_human_high	45355	human	human_high	high	False		human		corpus/01_composicoes/maiores_notas/45355.txt		45355 (0477-030).txt			corpus/00_fontes/composicoes_de_admissao_universitaria.tsv	4.5	4.5	4.5	5.0	5.0	4.5	28.0	28.0	0.0
35994_human_high	35994	human	human_high	high	False		human		corpus/01_composicoes/maiores_notas/35994.txt		35994 (0513-004).txt			corpus/00_fontes/composicoes_de_admissao_universitaria.tsv	4.5	4.5	4.5	4.5	5.0	4.5	27.5	27.5	0.0
40127_human_high	40127	human	human_high	high	False		human		corpus/01_composicoes/maiores_notas/40127.txt		40127 (0433-014).txt			corpus/00_fontes/composicoes_de_admissao_universitaria.tsv	5.0	3.0	5.0	5.0	4.5	5.0	27.5	27.5	0.0
40621_human_high	40621	human	human_high	high	False		human		corpus/01_composicoes/maiores_notas/40621.txt		40621 (0519-033).txt			corpus/00_fontes/composicoes_de_admissao_universitaria.tsv	4.5	5.0	5.0	4.0	3.0	5.0	26.5	26.5	0.0
34726_human_high	34726	human	human_high	high	False		human		corpus/01_composicoes/maiores_notas/34726.txt		34726 (0409-003).txt			corpus/00_fontes/composicoes_de_admissao_universitaria.tsv	5.0	3.0	3.5	5.0	5.0	4.5	26.0	26.0	0.0
34811_human_high	34811	human	human_high	high	False		human		corpus/01_composicoes/maiores_notas/34811.txt		34811 (0517-014).txt			corpus/00_fontes/composicoes_de_admissao_universitaria.tsv	4.0	4.0	4.0	5.0	5.0	4.0	26.0	26.0	0.0
36280_human_high	36280	human	human_high	high	False		human		corpus/01_composicoes/maiores_notas/36280.txt		36280 (0457-003).txt			corpus/00_fontes/composicoes_de_admissao_universitaria.tsv	5.0	4.0	5.0	4.0	5.0	3.0	26.0	26.0	0.0
37681_human_high	37681	human	human_high	high	False		human		corpus/01_composicoes/maiores_notas/37681.txt		37681 (0477-016).txt			corpus/00_fontes/composicoes_de_admissao_universitaria.tsv	4.5	4.0	4.0	4.5	5.0	4.0	26.0	26.0	0.0
39896_human_high	39896	human	human_high	high	False		human		corpus/01_composicoes/maiores_notas/39896.txt		39896 (0470-006).txt			corpus/00_fontes/composicoes_de_admissao_universitaria.tsv	4.0	3.5	4.5	5.0	5.0	4.0	26.0	26.0	0.0
38047_human_high	38047	human	human_high	high	False		human		corpus/01_composicoes/maiores_notas/38047.txt		38047 (0496-031).txt			corpus/00_fontes/composicoes_de_admissao_universitaria.tsv	3.5	3.5	5.0	5.0	4.5	4.0	25.5	25.5	0.0
39608_human_high	39608	human	human_high	high	False		human		corpus/01_composicoes/maiores_notas/39608.txt		39608 (0477-031).txt			corpus/00_fontes/composicoes_de_admissao_universitaria.tsv	4.0	4.0	4.5	4.0	5.0	4.0	25.5	25.5	0.0
40140_human_high	40140	human	human_high	high	False		human		corpus/01_composicoes/maiores_notas/40140.txt		40140 (0491-029).txt			corpus/00_fontes/composicoes_de_admissao_universitaria.tsv	4.5	4.5	4.5	4.0	4.0	4.0	25.5	25.5	0.0
35240_human_high	35240	human	human_high	high	False		human		corpus/01_composicoes/maiores_notas/35240.txt		35240 (0502-029).txt			corpus/00_fontes/composicoes_de_admissao_universitaria.tsv	4.0	3.5	4.5	4.0	4.0	5.0	25.0	25.0	0.0
36415_human_high	36415	human	human_high	high	False		human		corpus/01_composicoes/maiores_notas/36415.txt		36415 (0505-042).txt			corpus/00_fontes/composicoes_de_admissao_universitaria.tsv	4.0	4.0	4.0	5.0	4.0	4.0	25.0	25.0	0.0
33890_human_high	33890	human	human_high	high	False		human		corpus/01_composicoes/maiores_notas/33890.txt		33890 (0473-037).txt			corpus/00_fontes/composicoes_de_admissao_universitaria.tsv	3.5	3.0	4.0	4.0	5.0	5.0	24.5	24.5	0.0
34096_human_high	34096	human	human_high	high	False		human		corpus/01_composicoes/maiores_notas/34096.txt		34096 (0414-037)_normalizada_FO.txt			corpus/00_fontes/composicoes_de_admissao_universitaria.tsv	4.5	4.0	4.0	3.5	3.5	5.0	24.5	24.5	0.0
34148_human_high	34148	human	human_high	high	False		human		corpus/01_composicoes/maiores_notas/34148.txt		34148 (0476-030).txt			corpus/00_fontes/composicoes_de_admissao_universitaria.tsv	4.0	3.5	3.5	4.5	4.0	5.0	24.5	24.5	0.0
34813_human_high	34813	human	human_high	high	False		human		corpus/01_composicoes/maiores_notas/34813.txt		34813 (0453-015).txt			corpus/00_fontes/composicoes_de_admissao_universitaria.tsv	4.0	4.0	4.0	5.0	3.0	4.5	24.5	24.5	0.0
34844_human_high	34844	human	human_high	high	False		human		corpus/01_composicoes/maiores_notas/34844.txt		34844 (0498-016).txt			corpus/00_fontes/composicoes_de_admissao_universitaria.tsv	3.0	3.0	4.0	5.0	5.0	4.5	24.5	24.5	0.0
36030_human_high	36030	human	human_high	high	False		human		corpus/01_composicoes/maiores_notas/36030.txt		36030 (0497-031).txt			corpus/00_fontes/composicoes_de_admissao_universitaria.tsv	4.0	4.0	4.0	5.0	3.5	4.0	24.5	24.5	0.0
37293_human_high	37293	human	human_high	high	False		human		corpus/01_composicoes/maiores_notas/37293.txt		37293 (0416-035).txt			corpus/00_fontes/composicoes_de_admissao_universitaria.tsv	3.5	3.5	4.5	4.5	4.0	4.5	24.5	24.5	0.0
38333_human_high	38333	human	human_high	high	False		human		corpus/01_composicoes/maiores_notas/38333.txt		38333 (0516-008).txt			corpus/00_fontes/composicoes_de_admissao_universitaria.tsv	4.5	4.5	4.0	5.0	4.0	2.5	24.5	24.5	0.0
39561_human_high	39561	human	human_high	high	False		human		corpus/01_composicoes/maiores_notas/39561.txt		39561 (0477-011).txt			corpus/00_fontes/composicoes_de_admissao_universitaria.tsv	4.0	4.0	4.0	4.0	4.5	4.0	24.5	24.5	0.0
36349_human_high	36349	human	human_high	high	False		human		corpus/01_composicoes/maiores_notas/36349.txt		36349 (0479-030).txt			corpus/00_fontes/composicoes_de_admissao_universitaria.tsv	4.0	3.5	3.5	5.0	4.0	4.0	24.0	24.0	0.0
36441_human_high	36441	human	human_high	high	False		human		corpus/01_composicoes/maiores_notas/36441.txt		36441 (0505-043).txt			corpus/00_fontes/composicoes_de_admissao_universitaria.tsv	4.0	4.0	3.0	5.0	4.0	4.0	24.0	24.0	0.0
37321_human_high	37321	human	human_high	high	False		human		corpus/01_composicoes/maiores_notas/37321.txt		37321 (0513-039).txt			corpus/00_fontes/composicoes_de_admissao_universitaria.tsv	3.5	3.5	4.5	4.0	4.0	4.5	24.0	24.0	0.0
38105_human_high	38105	human	human_high	high	False		human		corpus/01_composicoes/maiores_notas/38105.txt		38105 (0469-030).txt			corpus/00_fontes/composicoes_de_admissao_universitaria.tsv	4.0	3.5	4.0	4.5	4.0	4.0	24.0	24.0	0.0
40134_human_high	40134	human	human_high	high	False		human		corpus/01_composicoes/maiores_notas/40134.txt		40134 (0476-007).txt			corpus/00_fontes/composicoes_de_admissao_universitaria.tsv	4.0	4.0	3.5	4.0	4.0	4.5	24.0	24.0	0.0
40676_human_high	40676	human	human_high	high	False		human		corpus/01_composicoes/maiores_notas/40676.txt		40676 (0485-015).txt			corpus/00_fontes/composicoes_de_admissao_universitaria.tsv	4.0	4.5	4.5	4.0	3.0	4.0	24.0	24.0	0.0
46260_human_high	46260	human	human_high	high	False		human		corpus/01_composicoes/maiores_notas/46260.txt		46260 (0473-022).txt			corpus/00_fontes/composicoes_de_admissao_universitaria.tsv	4.0	2.0	5.0	4.0	4.0	5.0	24.0	24.0	0.0
46711_human_high	46711	human	human_high	high	False		human		corpus/01_composicoes/maiores_notas/46711.txt		46711 (0477-007).txt			corpus/00_fontes/composicoes_de_admissao_universitaria.tsv	4.0	4.0	4.0	3.5	4.5	4.0	24.0	24.0	0.0
35400_human_high	35400	human	human_high	high	False		human		corpus/01_composicoes/maiores_notas/35400.txt		35400 (0491-021).txt			corpus/00_fontes/composicoes_de_admissao_universitaria.tsv	4.0	4.0	4.5	3.5	3.0	4.5	23.5	23.5	0.0
35733_human_high	35733	human	human_high	high	False		human		corpus/01_composicoes/maiores_notas/35733.txt		35733 (0487-028).txt			corpus/00_fontes/composicoes_de_admissao_universitaria.tsv	4.0	4.0	4.0	5.0	3.0	3.5	23.5	23.5	0.0
35819_human_high	35819	human	human_high	high	False		human		corpus/01_composicoes/maiores_notas/35819.txt		35819 (0498-008).txt			corpus/00_fontes/composicoes_de_admissao_universitaria.tsv	3.0	3.5	3.5	4.5	5.0	4.0	23.5	23.5	0.0
36403_human_high	36403	human	human_high	high	False		human		corpus/01_composicoes/maiores_notas/36403.txt		36403 (0434-002).txt			corpus/00_fontes/composicoes_de_admissao_universitaria.tsv	5.0	4.5	4.0	3.0	3.0	4.0	23.5	23.5	0.0
37193_human_high	37193	human	human_high	high	False		human		corpus/01_composicoes/maiores_notas/37193.txt		37193 (0421-010).txt			corpus/00_fontes/composicoes_de_admissao_universitaria.tsv	4.0	3.0	4.5	4.0	4.0	4.0	23.5	23.5	0.0
37525_human_high	37525	human	human_high	high	False		human		corpus/01_composicoes/maiores_notas/37525.txt		37525 (0409-014).txt			corpus/00_fontes/composicoes_de_admissao_universitaria.tsv	4.0	2.5	4.0	5.0	4.0	4.0	23.5	23.5	0.0
37605_human_high	37605	human	human_high	high	False		human		corpus/01_composicoes/maiores_notas/37605.txt		37605 (0490-024).txt			corpus/00_fontes/composicoes_de_admissao_universitaria.tsv	2.5	1.5	4.5	5.0	5.0	5.0	23.5	23.5	0.0
37924_human_high	37924	human	human_high	high	False		human		corpus/01_composicoes/maiores_notas/37924.txt		37924 (0454-003).txt			corpus/00_fontes/composicoes_de_admissao_universitaria.tsv	4.0	2.5	4.5	4.0	4.0	4.5	23.5	23.5	0.0
38475_human_high	38475	human	human_high	high	False		human		corpus/01_composicoes/maiores_notas/38475.txt		38475 (0512-004).txt			corpus/00_fontes/composicoes_de_admissao_universitaria.tsv	3.5	4.0	4.0	4.0	4.5	3.5	23.5	23.5	0.0
40021_human_high	40021	human	human_high	high	False		human		corpus/01_composicoes/maiores_notas/40021.txt		40021 (0485-016).txt			corpus/00_fontes/composicoes_de_admissao_universitaria.tsv	3.5	3.0	4.5	5.0	4.0	3.5	23.5	23.5	0.0
40548_human_high	40548	human	human_high	high	False		human		corpus/01_composicoes/maiores_notas/40548.txt		40548 (0519-038).txt			corpus/00_fontes/composicoes_de_admissao_universitaria.tsv	4.0	4.0	3.5	4.0	4.0	4.0	23.5	23.5	0.0
40772_human_high	40772	human	human_high	high	False		human		corpus/01_composicoes/maiores_notas/40772.txt		40772 (0449-013).txt			corpus/00_fontes/composicoes_de_admissao_universitaria.tsv	5.0	4.0	4.5	2.5	3.0	4.5	23.5	23.5	0.0
34306_human_high	34306	human	human_high	high	False		human		corpus/01_composicoes/maiores_notas/34306.txt		34306 (0417-028).txt			corpus/00_fontes/composicoes_de_admissao_universitaria.tsv	4.0	3.0	4.0	4.0	4.0	4.0	23.0	23.0	0.0
34841_human_high	34841	human	human_high	high	False		human		corpus/01_composicoes/maiores_notas/34841.txt		34841 (0495-021).txt			corpus/00_fontes/composicoes_de_admissao_universitaria.tsv	3.5	3.5	4.0	4.5	3.5	4.0	23.0	23.0	0.0
35134_human_high	35134	human	human_high	high	False		human		corpus/01_composicoes/maiores_notas/35134.txt		35134 (0457-009).txt			corpus/00_fontes/composicoes_de_admissao_universitaria.tsv	3.0	3.5	4.0	4.5	4.5	3.5	23.0	23.0	0.0
36074_human_high	36074	human	human_high	high	False		human		corpus/01_composicoes/maiores_notas/36074.txt		36074 (0510-016).txt			corpus/00_fontes/composicoes_de_admissao_universitaria.tsv	3.5	3.5	4.0	3.5	4.5	4.0	23.0	23.0	0.0
36163_human_high	36163	human	human_high	high	False		human		corpus/01_composicoes/maiores_notas/36163.txt		36163 (0455-031).txt			corpus/00_fontes/composicoes_de_admissao_universitaria.tsv	4.0	4.0	4.0	4.0	3.0	4.0	23.0	23.0	0.0
36551_human_high	36551	human	human_high	high	False		human		corpus/01_composicoes/maiores_notas/36551.txt		36551 (0497-013).txt			corpus/00_fontes/composicoes_de_admissao_universitaria.tsv	4.0	4.0	4.0	3.5	4.0	3.5	23.0	23.0	0.0
36566_human_high	36566	human	human_high	high	False		human		corpus/01_composicoes/maiores_notas/36566.txt		36566 (0402-010).txt			corpus/00_fontes/composicoes_de_admissao_universitaria.tsv	3.5	1.5	4.5	3.5	5.0	5.0	23.0	23.0	0.0
