composition_id	base_id	candidate_band	candidate_group	adequacao_a_coletanea_gpt_ai	adequacao_a_coletanea_humano	adequacao_a_norma_padrao_gpt_ai	adequacao_a_norma_padrao_humano	adequacao_ao_tema_gpt_ai	adequacao_ao_tema_humano	adequacao_ao_tipo_de_texto_gpt_ai	adequacao_ao_tipo_de_texto_humano	coerencia_gpt_ai	coerencia_humano	coesao_gpt_ai	coesao_humano	pontuacao_total_gpt_ai	pontuacao_total_humano	total_diff_ai_minus_humano	total_abs_diff
32610_humano_menores_notas	32610	menores_notas	humano_menores_notas	2.0	1.0	0.0	2.5	3.0	1.0	3.5	2.0	3.0	1.5	2.0	3.5	13.5	11.5	2.0	2.0
32674_humano_menores_notas	32674	menores_notas	humano_menores_notas	2.0	1.0	0.0	0.5	3.0	1.0	3.0	2.0	2.0	1.0	2.0	1.0	12.0	6.5	5.5	5.5
32714_humano_menores_notas	32714	menores_notas	humano_menores_notas	2.5	1.0	1.0	1.0	3.5	1.0	3.0	2.5	3.0	1.5	2.0	2.0	15.0	9.0	6.0	6.0
32733_humano_menores_notas	32733	menores_notas	humano_menores_notas	2.0	2.0	0.0	1.0	3.0	1.5	3.0	2.5	3.0	2.0	3.0	2.0	14.0	11.0	3.0	3.0
32749_humano_menores_notas	32749	menores_notas	humano_menores_notas	1.0	1.0	4.0	1.5	3.0	1.0	3.0	2.5	3.0	2.0	3.0	3.5	17.0	11.5	5.5	5.5
32755_humano_menores_notas	32755	menores_notas	humano_menores_notas	1.0	1.0	0.0	0.5	2.0	1.5	2.0	2.5	2.0	1.5	1.0	0.5	8.0	7.5	0.5	0.5
32757_humano_maiores_notas	32757	maiores_notas	humano_maiores_notas	2.5	3.0	3.0	4.5	2.5	3.0	3.5	3.0	4.0	3.0	3.5	3.0	19.0	19.5	-0.5	0.5
32782_humano_menores_notas	32782	menores_notas	humano_menores_notas	3.0	1.0	2.0	0.0	3.5	1.0	4.0	2.0	3.5	1.0	3.5	3.0	19.5	8.0	11.5	11.5
32792_humano_menores_notas	32792	menores_notas	humano_menores_notas	2.0	1.5	0.0	0.0	3.0	1.0	3.0	2.0	3.0	1.5	2.0	1.0	13.0	7.0	6.0	6.0
32860_humano_menores_notas	32860	menores_notas	humano_menores_notas	3.0	1.0	1.0	3.0	4.0	1.0	3.0	2.0	2.0	2.0	2.0	1.5	15.0	10.5	4.5	4.5
